;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
ESTAÇÕES;;;;;;;;
;;;;;;;;
"Nº  da
Estação";Nome da Estação;;"Altitude 
(m)";Coordenadas;;;;
;;;;;;;;
;;;;Lat_dec;Lon_dec;;;
1200551;Viana do Castelo / Chafé;;47,3;41,6488;-8,8047;;;
1210622;Braga / Merelim;;68,4;41,5758;-8,4511;;;
1200567;Vila Real / Aeródromo;;561,5;41,2742;-7,7171;;;
1200575;Bragança;;690,7;41,8038;-6,7428;;;
1200545;Porto / Pedras Rubras;;67,7;41,2322;-8,6791;;;
1210702;Aveiro / Universidade;;3,6;40,6353;-8,6598;;;
1200560;Viseu / Centro Coordenador;;644,4;40,7148;-7,8959;;;
1210683;Guarda;;1001,0;40,5286;-7,2787;;;
1200548;Coimbra / Cernache / Aeródromo;;170,8;40,1576;-8,4685;;;
1200570;Castelo Branco ;;386,0;39,8394;-7,4787;;;
1210718;Leiria;;42,5;39,7806;-8,8209;;;
1210734;Santarém / Fonte Boa  Est. Zootécnica;;71,9;39,2013;-8,7368;;;
1200571;Portalegre;;596,6;39,2942;-7,4212;;;
1200579;Lisboa / Gago Coutinho;;103,9;38,7662;-9,1275;;;
1210770;Setúbal / Estação de Fruticultura;;18,7;38,5485;-8,8908;;;
1200558;Évora / Aeródromo;;247,6;38,5365;-7,8880;;;
1200562;Beja;;246,0;38,0257;-7,8673;;;
1200554;Faro / Aeroporto;;5,0;37,0166;-7,9719;;;
;;;;;;;;
;;;;;;;;
Variável;Unid.;Descrição;;;;;;
T_MED;ºC;Temperatura média do ar a 1,5 m ;;;;;;
T_MAX;ºC;Temperatura máxima do ar a 1,5 m ;;;;;;
T_MIN;ºC;Temperatura mínima do ar a 1,5 m ;;;;;;
DD_MED;º;Rumo médio do vento;;;;;;
DD_FFX;º;Rumo do vento máximo;;;;;;
FF_MED;m/s;Intensidade média do vento a 10 m;;;;;;
FF_MAX;m/s;Intensidade máxima instantânea do vento;;;;;;
PR_QTD;mm;Quantidade de precipitação;;;;;;
;;;;;;;;
;;;;;;;;
Nota:;;;;;;;;
"? -990.0 - Significa ausência de registo do respectivo parâmetro pelos motivos relacionados com: inoperacionalidade do equipamento de medição; fora do período de funcionamento da estação meteorológica.";;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
